+-------------+----------------------+
| amka        | Ιδιότητα             |
+-------------+----------------------+
| 80000000007 | Ιατρός               |
| 80000000013 | Ιατρός               |
| 80000000019 | Ιατρός               |
| 80000000025 | Ιατρός               |
| 80000000031 | Ιατρός               |
| 80000000037 | Ιατρός               |
| 80000000043 | Ιατρός               |
| 80000000049 | Ιατρός               |
| 80000000055 | Ιατρός               |
| 80000000061 | Ιατρός               |
| 80000000067 | Ιατρός               |
| 80000000073 | Ιατρός               |
| 80000000077 | Ιατρός               |
| 80000000005 | Ιατρός               |
| 80000000006 | Ιατρός               |
| 80000000046 | Ιατρός               |
| 80000000052 | Ιατρός               |
| 80000000058 | Ιατρός               |
| 80000000064 | Ιατρός               |
| 80000000070 | Ιατρός               |
| 80000000080 | Ιατρός               |
| 80000000004 | Ιατρός               |
| 80000000041 | Ιατρός               |
| 80000000008 | Ιατρός               |
| 80000000009 | Ιατρός               |
| 80000000011 | Ιατρός               |
| 80000000016 | Ιατρός               |
| 80000000017 | Ιατρός               |
| 80000000022 | Ιατρός               |
| 80000000023 | Ιατρός               |
| 80000000028 | Ιατρός               |
| 80000000029 | Ιατρός               |
| 80000000034 | Ιατρός               |
| 80000000040 | Ιατρός               |
| 80000000010 | Ιατρός               |
| 80000000012 | Ιατρός               |
| 80000000014 | Ιατρός               |
| 80000000015 | Ιατρός               |
| 80000000018 | Ιατρός               |
| 80000000020 | Ιατρός               |
| 80000000021 | Ιατρός               |
| 80000000024 | Ιατρός               |
| 80000000026 | Ιατρός               |
| 80000000027 | Ιατρός               |
| 80000000030 | Ιατρός               |
| 80000000032 | Ιατρός               |
| 80000000033 | Ιατρός               |
| 80000000035 | Ιατρός               |
| 80000000036 | Ιατρός               |
| 80000000038 | Ιατρός               |
| 80000000039 | Ιατρός               |
| 80000000042 | Ιατρός               |
| 80000000044 | Ιατρός               |
| 80000000045 | Ιατρός               |
| 80000000047 | Ιατρός               |
| 80000000048 | Ιατρός               |
| 80000000050 | Ιατρός               |
| 80000000051 | Ιατρός               |
