+-----------------------+-----------------------------+-----------------------------------+-----------------------+-----------------------------+---------------------------------------+
| ΑΜΚΑ Ιατρού           | Επώνυμο Ιατρού              | Βαθμίδα Εποπτείας                 | ΑΜΚΑ Επόπτη           | Επώνυμο Επόπτη              | Ένδειξη Επιπέδου                      |
+-----------------------+-----------------------------+-----------------------------------+-----------------------+-----------------------------+---------------------------------------+
| 80000000064           | Αγγελοπούλου                |                                 1 | 80000000001           | Αθανασίου                   | Άμεσος Επόπτης                        |
| 80000000024           | Αλεξίου                     |                                 1 | 80000000023           | Ψαρράς                      | Άμεσος Επόπτης                        |
| 80000000024           | Αλεξίου                     |                                 2 | 80000000007           | Ηλιάδης                     | Επόπτης 2ου Επιπέδου                  |
| 80000000042           | Αναστασίου                  |                                 1 | 80000000041           | Ψυχογιός                    | Άμεσος Επόπτης                        |
| 80000000042           | Αναστασίου                  |                                 2 | 80000000006           | Ζαφειρίου                   | Επόπτης 2ου Επιπέδου                  |
| 80000000042           | Αναστασίου                  |                                 3 | 80000000001           | Αθανασίου                   | Επόπτης 3ου Επιπέδου                  |
| 80000000002           | Βασιλείου                   |                                 1 | 80000000001           | Αθανασίου                   | Άμεσος Επόπτης                        |
| 80000000065           | Βενιζέλος                   |                                 1 | 80000000064           | Αγγελοπούλου                | Άμεσος Επόπτης                        |
| 80000000065           | Βενιζέλος                   |                                 2 | 80000000001           | Αθανασίου                   | Επόπτης 2ου Επιπέδου                  |
| 80000000066           | Γεράκη                      |                                 1 | 80000000065           | Βενιζέλος                   | Άμεσος Επόπτης                        |
| 80000000066           | Γεράκη                      |                                 2 | 80000000064           | Αγγελοπούλου                | Επόπτης 2ου Επιπέδου                  |
| 80000000066           | Γεράκη                      |                                 3 | 80000000001           | Αθανασίου                   | Επόπτης 3ου Επιπέδου                  |
| 80000000003           | Γεωργίου                    |                                 1 | 80000000002           | Βασιλείου                   | Άμεσος Επόπτης                        |
| 80000000003           | Γεωργίου                    |                                 2 | 80000000001           | Αθανασίου                   | Επόπτης 2ου Επιπέδου                  |
| 80000000044           | Γκίκα                       |                                 1 | 80000000043           | Βλάχος                      | Άμεσος Επόπτης                        |
| 80000000026           | Δάλλα                       |                                 1 | 80000000025           | Γαλάνης                     | Άμεσος Επόπτης                        |
| 80000000004           | Δημητρίου                   |                                 1 | 80000000003           | Γεωργίου                    | Άμεσος Επόπτης                        |
| 80000000004           | Δημητρίου                   |                                 2 | 80000000002           | Βασιλείου                   | Επόπτης 2ου Επιπέδου                  |
| 80000000004           | Δημητρίου                   |                                 3 | 80000000001           | Αθανασίου                   | Επόπτης 3ου Επιπέδου                  |
| 80000000045           | Δρόσος                      |                                 1 | 80000000044           | Γκίκα                       | Άμεσος Επόπτης                        |
| 80000000045           | Δρόσος                      |                                 2 | 80000000043           | Βλάχος                      | Επόπτης 2ου Επιπέδου                  |
